id_plan,id_tipo,matrice,data_effettiva,campione,operatore_effettivo,parametro,udm,valore,incertezza,argomento
10,2,"terreno",2024-03-25,"5680/24","Magherini, Risso",benzo(a)pirene,mg/kg,0.096,,QC
10,2,"terreno",2024-03-25,"5680/24","Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.087,,QC
10,2,"terreno",2024-03-25,"5680/24","Magherini, Risso","dibenzo(a,h)antracene",mg/kg,0.103,,QC
10,2,"terreno",2024-03-25,"5680/24","Magherini, Risso","benzo(g,h,i)perilene",mg/kg,0.104,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,pirene,mg/kg,0.087,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,benzo(a)antracene,mg/kg,0.087,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,crisene,mg/kg,0.085,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,benzo(b+j)fluorantene,mg/kg,0.096,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,benzo(k)fluorantene,mg/kg,0.090,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,benzo(a)pirene,mg/kg,0.098,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,"indeno(1,2,3-c,d)pirene",mg/kg,0.103,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,"dibenzo(a,h)antracene",mg/kg,0.088,,QC
4,2,"terreno",2024-05-15,"10091/24",Magherini,"benzo(g,h,i)perilene",mg/kg,0.105,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",pirene,mg/kg,0.098,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",benzo(a)antracene,mg/kg,0.089,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",crisene,mg/kg,0.118,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",benzo(b+j)fluorantene,mg/kg,0.101,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",benzo(k)fluorantene,mg/kg,0.102,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso",benzo(a)pirene,mg/kg,0.094,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.093,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso","dibenzo(a,h)antracene",mg/kg,0.105,,QC
9,2,"terreno",2024-03-25,"563500/24","Magherini, Risso","benzo(g,h,i)perilene",mg/kg,0.102,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",pirene,mg/kg,0.097,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",benzo(a)antracene,mg/kg,0.083,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",crisene,mg/kg,0.108,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",benzo(b+j)fluorantene,mg/kg,0.080,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",benzo(k)fluorantene,mg/kg,0.103,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso",benzo(a)pirene,mg/kg,0.094,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso","indeno(1,2,3-c,d)pirene",mg/kg,0.085,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso","dibenzo(a,h)antracene",mg/kg,0.104,,QC
11,2,"terreno",2024-03-25,"567900/24","Magherini, Risso","benzo(g,h,i)perilene",mg/kg,0.103,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,pirene,mg/kg,0.088,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,benzo(a)antracene,mg/kg,0.087,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,crisene,mg/kg,0.085,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,benzo(b+j)fluorantene,mg/kg,0.095,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,benzo(k)fluorantene,mg/kg,0.090,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,benzo(a)pirene,mg/kg,0.097,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,"indeno(1,2,3-c,d)pirene",mg/kg,0.103,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,"dibenzo(a,h)antracene",mg/kg,0.089,,QC
5,2,"terreno",2024-05-15,"1009000/24",Magherini,"benzo(g,h,i)perilene",mg/kg,0.105,,QC
